Weight,RTF,LT4,LT3,frequency,Alt
100-140,0-5,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
100-140,6-10,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
100-140,11-15,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
100-140,16-20,87.5,5.0,1,No
100-140,21-25,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,26-30,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,31-35,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,41-45,50.0,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
100-140,51-55,50.0,2.5,1,No
100-140,56-60,37.5,2.5,1,No
100-140,61-65,37.5,2.5,1,No
100-140,66-70,25.0,2.5,1,No
100-140,71-75,25.0,2.5,1,No
100-140,76-80,25.0,2.5,1,No
100-140,81-85,12.5,2.5,1,No
100-140,86-90,12.5,2.5,1,No
100-140,91-100,0.0,0.0,0,No
141-180 ,0-5,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
141-180 ,6-10,100.0,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
141-180 ,11-15,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
141-180 ,16-20,87.5,5.0,1,75 µg LT4 + 7.5 µg LT3 (1x/day)
141-180 ,21-25,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-180 ,26-30,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
141-180 ,31-35,62.5,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
141-180 ,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-180 ,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
141-180 ,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
141-180 ,51-55,50.0,2.5,1,No
141-180 ,56-60,37.5,2.5,1,No
141-180 ,61-65,37.5,2.5,1,No
141-180 ,66-70,37.5,2.5,1,No
141-180 ,71-75,25.0,2.5,1,No
141-180 ,76-80,25.0,2.5,1,No
141-180 ,81-85,12.5,2.5,1,No
141-180 ,86-90,12.5,2.5,1,No
141-180 ,91-100,0.0,0.0,0,No
181-220,0-5,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
181-220,6-10,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
181-220,11-15,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
181-220,16-20,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
181-220,21-25,87.5,5.0,1,No
181-220,26-30,87.5,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-220,31-35,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
181-220,36-40,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-220,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-220,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
181-220,51-55,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
181-220,56-60,50.0,2.5,1,No
181-220,61-65,37.5,2.5,1,No
181-220,66-70,25.0,2.5,1,No
181-220,71-75,25.0,2.5,1,No
181-220,76-80,12.5,2.5,1,No
181-220,81-85,12.5,2.5,1,No
181-220,86-90,0.0,0.0,0,No
181-220,91-100,0.0,0.0,0,No
221-270,0-5,112.5,10.0,1,125 µg LT4 + 5 µg LT3 (2x/day)
221-270,6-10,112.5,7.5,1,112.5 µg LT4 + 5 µg LT3 (2x/day)
221-270,11-15,112.5,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
221-270,16-20,100.0,7.5,1,100 µg LT4 + 5 µg LT3 (2x/day)
221-270,21-25,87.5,7.5,1,87.5 µg LT4 + 5 µg LT3 (2x/day)
221-270,26-30,75.0,7.5,1,75 µg LT4 + 5 µg LT3 (2x/day)
221-270,31-35,75.0,5.0,1,87.5 µg LT4 + 2.5 µg LT3 (2x/day)
221-270,36-40,75.0,5.0,1,75 µg LT4 + 2.5 µg LT3 (2x/day)
221-270,41-45,62.5,5.0,1,62.5 µg LT4 + 2.5 µg LT3 (2x/day)
221-270,46-50,50.0,5.0,1,50 µg LT4 + 2.5 µg LT3 (2x/day)
221-270,51-55,50.0,2.5,1,No
221-270,56-60,50.0,2.5,1,No
221-270,61-65,37.5,2.5,1,No
221-270,66-70,25.0,2.5,1,No
221-270,71-75,25.0,2.5,1,No
221-270,76-80,12.5,2.5,1,No
221-270,81-85,12.5,0.0,0,No
221-270,86-90,0.0,0.0,0,No
221-270,91-100,0.0,0.0,0,No
