Weight,RTF,LT4,LT3,frequency,Alt
161-180,41-45,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-180,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-180,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
161-180,56-60,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
161-180,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
161-180,66-70,37.5,2.5,1,No
161-180,71-75,25.0,2.5,1,No
161-180,76-80,25.0,2.5,1,No
161-180,81-85,12.5,2.5,1,No
161-180,86-90,12.5,2.5,1,No
161-180,91-100,0.0,0.0,1,No
181-200,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
181-200,6-10,100.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
181-200,11-15,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
181-200,16-20,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
181-200,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
181-200,26-30,62.5,7.5,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
181-200,31-35,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
181-200,36-40,62.5,5.0,1,No
181-200,41-45,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-200,46-50,50.0,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-200,51-55,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
181-200,56-60,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-200,61-65,37.5,5.0,1,Alt = 37.5 µg LT4 + 2.5 µg LT3 (2x/day)
181-200,66-70,37.5,2.5,1,No
181-200,71-75,25.0,2.5,1,No
181-200,76-80,25.0,2.5,1,No
181-200,81-85,12.5,2.5,1,No
181-200,86-90,12.5,2.5,1,No
181-200,91-100,0.0,0.0,1,No
201-230,0-5,100.0,7.5,1,Alt = 100 µg LT4 + 5 µg LT3 (2x/day)
201-230,6-10,100.0,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
201-230,11-15,87.5,7.5,1,Alt = 87.5 µg LT4 + 5 µg LT3 (2x/day)
201-230,16-20,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
201-230,21-25,75.0,7.5,1,Alt = 75 µg LT4 + 5 µg LT3 (2x/day)
201-230,26-30,75.0,5.0,1,Alt = 62.5 µg LT4 + 5 µg LT3 (2x/day)
201-230,31-35,75.0,5.0,1,No
201-230,36-40,62.5,5.0,1,No
201-230,41-45,62.5,5.0,1,Alt = 62.5 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,46-50,50.0,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,51-55,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,56-60,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,61-65,37.5,5.0,1,Alt = 50 µg LT4 + 2.5 µg LT3 (2x/day)
201-230,66-70,37.5,2.5,1,No
201-230,71-75,25.0,2.5,1,No
201-230,76-80,25.0,2.5,1,No
201-230,81-85,12.5,2.5,1,No
201-230,86-90,12.5,2.5,1,No
201-230,91-100,0.0,0.0,1,No
